region,herd,cow,study_lact,herd_size,mwp,parity,milk120,calv_dt,cf,fs,cc,wpc,spc,twin,dyst,rp,vag_disch,h7
1,1,73,1,294,26,1,2508.6001,05feb1997,47,0,225,199,5,no,no,no,no,1
1,1,74,1,294,26,4,3824.5,15apr1997,207,1,207,181,1,no,no,no,no,1
1,1,75,1,294,26,4,3591.5,06apr1997,64,0,124,98,2,no,no,no,no,1
1,1,76,1,294,26,1,3204,14dec1996,75,1,75,49,1,no,no,no,no,1
1,1,77,1,294,26,4,3982.5,14feb1997,,,,,,no,no,no,no,1
1,1,78,1,294,26,3,4554,10jan1997,49,1,49,23,1,no,no,no,no,1
1,1,79,1,294,26,4,3620.8999,08nov1996,54,1,54,28,1,no,no,yes,no,1
1,1,79,2,294,26,5,2986.3,07oct1997,96,,,,1,yes,no,yes,no,1
1,1,80,1,294,26,4,3864,05nov1996,38,0,98,72,3,no,no,no,no,1
1,1,80,2,294,26,5,3376.8,23nov1997,,,,,,no,no,no,no,1
1,1,81,1,294,26,4,3554.8,26apr1997,63,,,,4,no,no,no,no,1
1,1,82,1,294,26,4,,04mar1997,,,,,,no,no,no,no,1
1,1,83,1,294,26,4,3550,24jan1997,72,1,72,46,1,no,no,no,no,1
1,1,84,1,294,26,3,3794.3999,03jul1997,41,0,146,120,3,no,no,yes,no,1
1,1,85,1,294,26,3,3389.5,19feb1997,72,0,187,161,2,yes,no,yes,no,1
1,1,86,1,294,26,3,3649.3999,10oct1996,64,0,193,167,3,no,no,no,no,1
1,1,87,1,294,26,4,3732.2,19feb1997,40,0,120,94,3,no,no,yes,no,1
1,1,88,1,294,26,4,3849.8,01jun1997,62,0,233,207,5,no,no,no,no,1
1,1,89,1,294,26,4,3368.8999,05feb1997,50,0,107,81,3,no,no,no,no,1
1,1,90,1,294,26,4,3807.3999,03may1997,100,1,100,74,1,no,no,no,no,1
1,1,91,1,294,26,4,3520,31oct1997,99,,,,4,no,no,no,no,1
1,1,92,1,294,26,4,4031.7,05mar1997,50,0,166,140,4,no,no,yes,no,1
1,1,93,1,294,26,4,4320.2002,11apr1997,42,1,42,16,1,no,no,no,no,1
1,1,94,1,294,26,4,3664,06jan1997,53,1,53,27,1,no,no,no,no,1
1,1,95,1,294,26,4,4481.2002,31dec1996,64,0,128,102,2,no,no,no,no,1
1,1,96,1,294,26,4,3036.6001,07apr1997,88,0,112,86,2,no,no,no,no,1
1,1,97,1,294,26,4,3252,17jul1997,42,0,71,45,2,no,no,no,no,1
1,1,98,1,294,26,4,2623,11may1997,83,0,229,203,6,no,no,yes,no,1
1,1,99,1,294,26,4,4014.2,17feb1997,41,,,,6,no,no,yes,no,1
1,1,100,1,294,26,4,4698.7998,09jul1997,56,1,56,30,1,no,no,no,no,1
1,1,101,1,294,26,4,,20mar1997,233,1,233,207,1,no,no,no,no,1
1,1,102,1,294,26,3,3973.6001,11oct1996,67,0,90,64,2,no,no,no,no,1
1,1,102,2,294,26,4,3629.6001,18oct1997,71,,,,4,no,no,no,no,1
1,1,103,1,294,26,4,4267.5,24jan1997,59,0,99,73,2,no,no,yes,no,1
1,1,104,1,294,26,4,4032.8999,28jan1997,64,0,110,84,3,no,no,no,no,1
1,1,105,1,294,26,3,3599.8,12dec1996,74,0,144,118,3,no,no,no,no,1
1,1,106,1,294,26,3,3802.6001,28dec1996,60,0,148,122,3,no,no,no,no,1
1,1,107,1,294,26,3,4299.5,04feb1997,64,1,64,38,1,no,no,no,no,1
1,1,108,1,294,26,3,3869.6001,08mar1997,88,1,88,62,1,no,no,no,no,1
1,1,109,1,294,26,3,5181.7998,17aug1997,44,0,73,47,2,no,no,no,no,1
1,1,110,1,294,26,3,3182,14feb1997,,,,,,no,no,no,no,1
1,1,111,1,294,26,3,4082.3999,24feb1997,52,0,73,47,2,no,no,no,no,1
1,1,112,1,294,26,4,2890.3,03apr1997,49,0,124,98,3,no,no,yes,yes,1
1,1,113,1,294,26,4,3112.3,07oct1997,59,1,59,33,1,no,no,no,no,1
1,1,114,1,294,26,4,2756.3,10sep1997,107,0,130,104,2,no,no,no,no,1
1,1,115,1,294,26,3,4063.8999,19jan1997,39,1,39,13,1,no,no,no,no,1
1,1,116,1,294,26,4,2734.8999,18may1997,83,1,83,57,1,no,no,no,no,1
1,1,117,1,294,26,4,2930.5,12jun1997,54,1,54,28,1,no,no,no,no,1
1,1,118,1,294,26,4,3260.5,03jun1997,38,0,57,31,2,no,no,no,no,1
1,1,119,1,294,26,4,3482.8999,13oct1997,90,,,,2,no,no,no,no,1
1,1,120,1,294,26,3,3704.6001,19jun1997,60,1,60,34,1,no,yes,no,no,1
1,1,121,1,294,26,3,3837.7,22sep1996,63,1,63,37,1,no,no,no,no,1
1,1,121,2,294,26,4,3332.2,04sep1997,24,0,173,147,5,no,no,no,no,1
1,1,122,1,294,26,3,4537.2002,21nov1996,46,0,251,225,7,no,no,no,no,1
1,1,123,1,294,26,3,4146,17jan1997,54,0,232,206,6,no,no,yes,no,1
1,1,124,1,294,26,4,,17feb1997,,,,,,no,no,no,no,1
1,1,125,1,294,26,3,3339.8999,16sep1996,40,0,165,139,4,no,no,no,no,1
1,1,126,1,294,26,3,4570.3999,16jun1997,49,0,123,97,2,no,no,yes,no,1
1,1,127,1,294,26,3,4042.8,02feb1997,42,1,42,16,1,no,no,no,no,1
1,1,128,1,294,26,3,4613.2998,25feb1997,117,0,138,112,2,no,no,no,no,1
1,1,129,1,294,26,3,5025.7998,18mar1997,59,0,270,244,6,no,no,no,no,1
1,1,130,1,294,26,4,4346.7002,25may1997,81,1,81,55,1,no,no,no,no,1
1,1,131,1,294,26,4,3977.3999,10apr1997,54,1,54,28,1,no,no,no,no,1
1,1,132,1,294,26,4,3920.3,11jul1997,36,0,58,32,2,no,no,no,no,1
1,1,133,1,294,26,3,3683.7,19may1997,73,1,73,47,1,no,no,no,no,1
1,1,134,1,294,26,2,,17jan1997,,,,,,no,yes,no,no,1
1,1,135,1,294,26,3,3364.7,06jun1997,74,0,164,138,3,no,no,no,no,1
1,1,136,1,294,26,3,3313.2,20dec1996,44,,,,7,no,no,no,no,1
1,1,137,1,294,26,3,3386.5,04feb1997,,,,,,no,no,no,no,1
1,1,138,1,294,26,3,3763.7,16jan1997,,,,,,no,no,no,no,1
1,1,139,1,294,26,2,4168.5,24oct1996,67,0,242,216,4,no,no,no,no,1
1,1,140,1,294,26,4,3306.5,08oct1997,76,,,,5,no,no,no,no,1
1,1,141,1,294,26,3,3698.3,20dec1996,,,,,,no,no,yes,no,1
1,1,142,1,294,26,3,3682.8,21dec1996,52,0,64,38,2,no,no,no,no,1
1,1,143,1,294,26,3,3678.1001,15dec1996,82,1,82,56,1,no,no,no,no,1
1,1,144,1,294,26,3,,18may1997,,,,,,no,no,no,no,1
1,1,145,1,294,26,3,3846,17jul1997,138,1,138,112,1,no,no,no,no,1
1,1,146,1,294,26,3,2653,25feb1997,69,0,103,77,2,no,no,no,no,1
1,1,147,1,294,26,3,2997.2,26apr1997,60,1,60,34,1,no,no,no,no,1
1,1,148,1,294,26,3,4058.2,17feb1997,59,1,59,33,1,no,no,no,no,1
1,1,149,1,294,26,3,,23apr1997,57,1,57,31,1,no,no,no,yes,1
1,1,150,1,294,26,3,3272.6001,04jan1997,46,0,162,136,5,yes,no,no,no,1
1,1,151,1,294,26,3,3107.5,30may1997,73,1,73,47,1,no,no,no,no,1
1,1,152,1,294,26,2,4063.3999,30sep1996,101,1,101,75,1,no,no,no,no,1
1,1,152,2,294,26,3,3943.8999,13oct1997,131,0,179,153,2,no,no,no,no,1
1,1,153,1,294,26,3,3722.3999,29may1997,86,,,,6,no,no,no,no,1
1,1,154,1,294,26,2,4038.7,28sep1996,83,1,83,57,1,no,yes,no,no,1
1,1,154,2,294,26,3,4079.6001,07oct1997,105,0,136,110,2,no,no,no,no,1
1,1,155,1,294,26,3,3354,24feb1997,60,0,112,86,4,no,no,no,no,1
1,1,156,1,294,26,2,3961.3,10jun1997,85,0,165,139,2,no,no,yes,no,1
1,1,157,1,294,26,3,3652.8999,24feb1997,35,1,35,9,1,no,no,no,no,1
1,1,158,1,294,26,3,3014.3,12feb1997,70,1,70,44,1,no,no,no,no,1
1,1,159,1,294,26,3,4393.1001,18jul1997,65,,,,7,no,no,no,yes,1
1,1,160,1,294,26,3,,07oct1997,,,,,,no,no,no,no,1
1,1,161,1,294,26,2,,16may1997,48,,,,2,no,no,yes,no,1
1,1,162,1,294,26,3,2607,18may1997,42,1,42,16,1,no,no,no,no,1
1,1,163,1,294,26,2,4420.8999,31oct1996,56,1,56,30,1,no,no,no,no,1
1,1,163,2,294,26,3,3921,27sep1997,100,0,163,137,4,yes,no,yes,yes,1
1,1,164,1,294,26,3,3132.5,17sep1997,,,,,,yes,no,yes,no,1
1,1,165,1,294,26,3,4332,30oct1996,104,,,,2,no,no,no,yes,1
1,1,166,1,294,26,3,3162.2,15oct1996,50,1,50,24,1,no,no,no,no,1
1,1,166,2,294,26,4,3494.1001,11sep1997,82,0,121,95,2,no,no,no,no,1
1,1,167,1,294,26,2,4383,27mar1997,64,0,137,111,2,no,no,no,no,1
1,1,168,1,294,26,3,2903.8999,17feb1997,41,0,63,37,2,no,no,no,no,1
1,1,169,1,294,26,3,3665.5,27mar1997,73,0,155,129,3,no,no,no,no,1
1,1,170,1,294,26,3,3596,26sep1997,65,0,111,85,3,no,no,no,no,1
1,1,171,1,294,26,2,3068.1001,18may1997,90,0,100,74,2,no,no,yes,yes,1
1,1,172,1,294,26,2,3352.7,06mar1997,121,1,121,95,1,no,no,no,no,1
1,1,173,1,294,26,3,3927.8999,14jun1997,65,1,65,39,1,no,no,no,no,1
1,1,174,1,294,26,3,3773,25jan1997,51,1,51,25,1,no,no,no,no,1
1,1,175,1,294,26,2,3771.3,30nov1996,71,1,71,45,1,no,no,no,no,1
1,1,175,2,294,26,3,3654.3,13nov1997,,,,,,no,no,no,no,1
1,1,176,1,294,26,3,3550.5,27mar1997,46,0,132,106,2,no,no,no,no,1
1,1,177,1,294,26,2,4053.8999,20oct1996,83,0,108,82,2,no,no,no,no,1
1,1,177,2,294,26,3,3297.5,09nov1997,55,0,141,115,2,no,no,yes,yes,1
1,1,178,1,294,26,2,3830.1001,20may1997,50,0,73,47,2,no,no,no,no,1
1,1,179,1,294,26,2,3208.3,27may1997,70,0,94,68,2,no,no,no,no,1
1,1,180,1,294,26,2,3933.8999,04jan1997,88,1,88,62,1,no,no,yes,no,1
1,1,181,1,294,26,3,4041.5,22feb1997,97,1,97,71,1,no,no,no,no,1
1,1,182,1,294,26,2,3278.2,25jan1997,52,1,52,26,1,no,no,no,no,1
1,1,183,1,294,26,2,4188.2998,13oct1996,63,1,63,37,1,no,no,no,no,1
1,1,183,2,294,26,3,4340.7998,28sep1997,62,0,84,58,2,no,no,no,no,1
1,1,184,1,294,26,3,3802.3999,12aug1997,48,0,158,132,5,no,no,no,no,1
1,1,185,1,294,26,2,3792.2,07jan1997,69,0,118,92,2,no,no,no,no,1
1,1,186,1,294,26,3,4302.3999,16sep1997,70,,,,5,no,no,no,no,1
1,1,187,1,294,26,3,4401.2998,22sep1997,73,,,,4,no,no,no,no,1
1,1,188,1,294,26,3,4308.1001,10may1997,53,0,118,92,2,no,no,yes,no,1
1,1,189,1,294,26,2,4367.3999,09oct1996,105,1,105,79,1,no,no,no,no,1
1,1,189,2,294,26,3,4230.2002,04nov1997,61,,,,5,no,no,no,no,1
1,1,190,1,294,26,3,3998,02aug1997,38,1,38,12,1,no,no,no,no,1
1,1,191,1,294,26,2,3973.8999,19apr1997,45,1,45,19,1,no,no,no,no,1
1,1,192,1,294,26,2,3501,13may1997,44,0,139,113,3,no,no,no,no,1
1,1,193,1,294,26,2,2901.8,13apr1997,83,1,83,57,1,yes,no,no,no,1
1,1,194,1,294,26,3,4476.3999,20jul1997,45,0,111,85,2,no,no,no,no,1
1,1,195,1,294,26,2,3665.3,01feb1997,98,1,98,72,1,no,no,no,no,1
1,1,196,1,294,26,2,3525.5,29mar1997,74,0,201,175,4,no,no,yes,no,1
1,1,197,1,294,26,2,,07apr1997,60,1,60,34,1,no,no,no,no,1
1,1,198,1,294,26,2,3760.5,21mar1997,44,1,44,18,1,no,no,no,no,1
1,1,199,1,294,26,2,3643.7,18may1997,59,0,279,253,7,no,no,no,no,1
1,1,200,1,294,26,2,4294.7998,23sep1997,59,0,171,145,3,no,no,no,no,1
1,1,201,1,294,26,2,3674,10jun1997,76,1,76,50,1,no,no,no,no,1
1,1,202,1,294,26,2,3590.3999,25jul1997,62,1,62,36,1,no,no,no,no,1
1,1,203,1,294,26,2,3432.5,16dec1996,76,1,76,50,1,no,no,no,no,1
1,1,204,1,294,26,2,2774.1001,10jul1997,73,,,,4,no,no,yes,yes,1
1,1,205,1,294,26,2,3063.6001,10apr1997,44,1,44,18,1,no,no,no,no,1
1,1,206,1,294,26,2,3400,26oct1996,84,0,99,73,2,no,no,no,no,1
1,1,206,2,294,26,3,3828.3999,09nov1997,89,0,149,123,2,no,no,no,no,1
1,1,207,1,294,26,1,2030.6,25jan1997,,,,,,no,no,no,no,1
1,1,208,1,294,26,2,3655.1001,29jan1997,57,0,194,168,5,no,no,no,no,1
1,1,209,1,294,26,2,3450.7,02sep1997,54,0,78,52,2,no,no,no,no,1
1,1,210,1,294,26,2,3098.5,04feb1997,50,1,50,24,1,no,yes,no,no,1
1,1,211,1,294,26,2,4014.8,27jul1997,50,0,117,91,3,no,no,no,no,1
1,1,212,1,294,26,2,3697,06jun1997,57,,,,7,no,yes,no,no,1
1,1,213,1,294,26,2,4052,05jun1997,55,1,55,29,1,no,no,no,no,1
1,1,214,1,294,26,2,2939.8,09may1997,93,1,93,67,1,yes,no,yes,no,1
1,1,215,1,294,26,2,3603.5,08mar1997,50,1,50,24,1,no,no,no,no,1
1,1,216,1,294,26,2,3284.8,29mar1997,67,1,67,41,1,no,no,yes,no,1
1,1,217,1,294,26,2,2853,19jun1997,88,1,88,62,1,no,no,no,no,1
1,1,218,1,294,26,2,3584.3,21feb1997,45,0,233,207,6,no,no,no,no,1
1,1,219,1,294,26,1,3104.3,22nov1996,64,,,,6,no,yes,no,yes,1
1,1,220,1,294,26,2,3435.2,18jul1997,68,0,147,121,2,no,no,no,no,1
1,1,221,1,294,26,2,3721.3999,06mar1997,34,0,79,53,2,no,no,no,no,1
1,1,222,1,294,26,2,2572.7,04jun1997,32,0,151,125,4,no,no,no,no,1
1,1,223,1,294,26,2,3040.5,11apr1997,51,1,51,25,1,no,no,no,no,1
1,1,224,1,294,26,1,2669.3999,16sep1996,41,1,41,15,1,no,yes,no,no,1
1,1,224,2,294,26,2,2965.5,01aug1997,22,0,84,58,2,no,no,no,no,1
1,1,225,1,294,26,2,3905.3,11jul1997,76,1,76,50,1,no,no,no,no,1
1,1,226,1,294,26,2,2925.1001,07apr1997,49,0,52,26,2,no,no,no,no,1
1,1,227,1,294,26,2,3452,15feb1997,60,1,60,34,1,no,no,no,no,1
1,1,228,1,294,26,1,2321.5,25oct1996,,,,,,no,no,no,no,1
1,1,229,1,294,26,2,3188.7,20mar1997,52,1,52,26,1,no,no,no,no,1
1,1,230,1,294,26,2,3581.8999,19jun1997,61,1,61,35,1,no,no,no,no,1
1,1,231,1,294,26,2,3514.5,16oct1997,110,1,110,84,1,no,no,no,yes,1
1,1,232,1,294,26,1,,11oct1996,,,,,,no,no,no,no,1
1,1,233,1,294,26,1,1530.5,05oct1996,48,1,48,22,1,no,no,no,yes,1
1,1,233,2,294,26,2,1991.9,27aug1997,51,0,110,84,2,no,no,no,no,1
1,1,234,1,294,26,1,2038.8,02oct1996,57,0,97,71,3,no,no,no,no,1
1,1,234,2,294,26,2,,19oct1997,,,,,,no,no,no,no,1
1,1,235,1,294,26,2,3501.7,10apr1997,51,1,51,25,1,no,no,yes,no,1
1,1,236,1,294,26,2,2924,14jun1997,45,0,52,26,2,no,no,no,no,1
1,1,237,1,294,26,2,3890.8999,10sep1997,76,0,118,92,2,no,no,no,no,1
1,1,238,1,294,26,2,3476.5,30jun1997,67,0,255,229,4,no,no,no,yes,1
1,1,239,1,294,26,2,3077.7,30jul1997,51,1,51,25,1,no,no,no,no,1
1,1,240,1,294,26,2,3230.1001,11jun1997,64,1,64,38,1,no,no,no,no,1
1,1,241,1,294,26,1,,13sep1996,,,,,,no,no,yes,no,1
1,1,242,1,294,26,2,3137,25jun1997,115,1,115,89,1,no,no,no,no,1
1,1,243,1,294,26,1,2816.6001,01sep1996,37,1,37,11,1,no,no,no,no,1
1,1,243,2,294,26,2,,20jun1997,,,,,,no,no,yes,no,1
1,1,244,1,294,26,2,3406.2,08aug1997,72,1,72,46,1,no,no,no,no,1
1,1,245,1,294,26,2,3327.6001,07oct1997,55,1,55,29,1,no,no,no,no,1
1,1,246,1,294,26,2,2715.6001,30jun1997,46,1,46,20,1,no,no,yes,no,1
1,1,247,1,294,26,1,2493.8,19sep1996,42,,,,6,no,no,no,no,1
1,1,248,1,294,26,2,3882,16nov1997,80,,,,5,no,no,no,no,1
1,1,249,1,294,26,2,3500.2,12aug1997,36,1,36,10,1,no,no,no,no,1
1,1,250,1,294,26,2,3158.8,22feb1997,42,0,106,80,3,no,no,no,no,1
1,1,251,1,294,26,2,3394.3999,14jun1997,81,1,81,55,1,no,no,no,no,1
1,1,252,1,294,26,2,3589.1001,28may1997,73,0,121,95,3,no,no,no,no,1
1,1,253,1,294,26,1,3771.8,23sep1996,37,1,37,11,1,no,no,no,no,1
1,1,253,2,294,26,2,4325.3999,03aug1997,44,0,115,89,3,no,no,no,no,1
1,1,254,1,294,26,2,2747.2,16jun1997,64,,,,9,no,no,yes,no,1
1,1,255,1,294,26,2,3561.1001,11jul1997,42,0,178,152,4,no,no,yes,no,1
1,1,256,1,294,26,2,3583.3999,19oct1997,59,1,59,33,1,no,no,no,no,1
1,1,257,1,294,26,1,2824.1001,09jan1997,62,0,111,85,3,no,no,no,no,1
1,1,258,1,294,26,1,3201.5,17oct1996,108,1,108,82,1,no,no,yes,no,1
1,1,258,2,294,26,2,3121.8,23nov1997,50,1,50,24,1,no,no,no,no,1
1,1,259,1,294,26,1,2871.2,08dec1996,58,1,58,32,1,no,no,yes,no,1
1,1,259,2,294,26,2,3010.8,07nov1997,51,1,51,25,1,no,no,no,no,1
1,1,260,1,294,26,1,3192.5,06dec1996,51,0,98,72,3,no,no,no,no,1
1,1,261,1,294,26,1,2676.8999,06dec1996,49,1,49,23,1,no,no,no,no,1
1,1,262,1,294,26,1,2627,17dec1996,55,1,55,29,1,no,no,no,no,1
1,1,262,2,294,26,2,3051.8,11nov1997,50,0,56,30,2,no,no,no,no,1
1,1,263,1,294,26,2,2536,06jan1997,49,1,49,23,1,no,yes,no,yes,1
1,1,264,1,294,26,1,2019,25jun1997,121,0,243,217,3,no,no,no,no,1
1,1,265,1,294,26,1,2176.5,17dec1996,72,1,72,46,1,no,no,yes,no,1
1,1,265,2,294,26,2,2584.3,19nov1997,68,0,163,137,3,no,yes,no,yes,1
1,1,266,1,294,26,1,3217.8,03feb1997,53,0,96,70,2,no,no,no,no,1
1,1,267,1,294,26,1,2910.3999,18may1997,56,0,129,103,2,no,no,no,no,1
1,1,268,1,294,26,1,3224.5,07jan1997,76,0,132,106,2,no,yes,yes,yes,1
1,1,269,1,294,26,1,2435.3999,20dec1996,68,1,68,42,1,no,no,no,no,1
1,1,270,1,294,26,1,2685.5,21dec1996,55,0,220,194,4,no,no,no,no,1
1,1,271,1,294,26,1,2735,05dec1996,76,0,175,149,4,no,no,no,no,1
1,1,272,1,294,26,1,3225.6001,15dec1996,71,1,71,45,1,no,yes,no,no,1
1,1,273,1,294,26,1,3308.7,31mar1997,118,1,118,92,1,no,no,no,no,1
1,1,274,1,294,26,1,,21dec1996,,,,,,no,yes,no,no,1
1,1,275,1,294,26,1,2692.8,15dec1996,49,0,233,207,6,no,no,no,no,1
1,1,276,1,294,26,1,3051.6001,20dec1996,46,1,46,20,1,no,no,no,no,1
1,1,277,1,294,26,1,3090.5,26mar1997,74,1,74,48,1,no,no,no,no,1
1,1,278,1,294,26,1,2340.6001,26dec1996,40,0,196,170,5,no,no,no,no,1
1,1,279,1,294,26,1,2303.3,08dec1996,93,0,132,106,2,no,no,no,no,1
1,1,280,1,294,26,1,2764.2,19dec1996,71,0,238,212,4,no,no,no,no,1
1,1,281,1,294,26,1,1636.3,01nov1996,78,0,157,131,3,no,no,no,no,1
1,1,282,1,294,26,1,2968.3999,30sep1997,70,0,125,99,3,no,no,no,no,1
1,1,283,1,294,26,1,3083.8,30may1997,70,1,70,44,1,no,no,no,no,1
1,1,284,1,294,26,1,2986.8999,20dec1996,57,0,231,205,5,no,no,no,yes,1
1,1,285,1,294,26,1,2694,04jan1997,100,0,146,120,2,yes,no,no,no,1
1,1,286,1,294,26,1,2044.2,30sep1996,49,1,49,23,1,no,no,yes,no,1
